Bangalore,Moderate
Mumbai,Moderate
Delhi,Unhealthy for Sensitive Groups
Thiruvananthapuram,Healthy
Hyderabad,Unhealthy for Sensitive Groups
Chennai,Unhealthy for Sensitive Groups
Ahmedabad,Unhealthy for Sensitive Groups
Coimbatore,Moderate
Kolkata,Unhealthy
Pune,Moderate
Jaipur,Moderate
Bhopal,Unhealthy for Sensitive Groups
Lucknow,Unhealthy for Sensitive Groups
Agra,Unhealthy for Sensitive Groups
Amritsar,Moderate
Udaipur,Healthy
Nashik,Unhealthy for Sensitive Groups
Nagpur,Unhealthy for Sensitive Groups
